id,accommodates,latitude,longitude,kmeans_cluster,sub_cluster
A602365136682941071,1,34.0154983,-118.2465736,9,9_5
A602475164042800839,6,33.97666,-118.46327,17,17_2
A602635961855078318,4,34.1858127,-118.5890077,28,28
A589167897666509658,5,34.05889666521096,-118.24263382857914,9,9_0
A603079290853743684,4,33.84574,-118.19073,2,2
A603097226546065235,4,33.76849,-118.16359,2,2
A598656948192028516,4,34.11586,-118.20212,12,12
A598702550709342761,2,34.02368,-118.33054,27,27
A598712856368051096,14,34.13091,-118.38577,7,7
A598722823918580067,7,33.95987072642407,-118.39151535331514,25,25_2
A598725789883307287,3,33.76983,-118.19332,2,2
A598775093485801375,2,34.11422,-118.01823,1,1
A598792782526460797,2,34.06749,-118.24529,9,9_0
A598800294970490281,4,34.00523,-118.48432,17,17_0
A598803708218771166,2,33.8072,-118.38171,13,13
A602732251085140593,10,34.09047,-118.60063,16,16
A602777960981860186,3,34.09455,-118.33216,21,21_3
A602779034338891038,4,33.88788,-118.38738,13,13
A602797681781221062,6,34.14417,-118.01973,1,1
A602823485333666196,1,34.08705,-118.3301,21,21_2
A602860012834792979,1,34.16082,-118.50118,3,3
A602888520704733449,8,34.13063,-118.64607,28,28
A602892851590917312,2,34.03895,-118.47591,29,29_0
A602967302979153899,6,33.97646,-118.41991,4,4
A602976275376487461,6,34.10498,-118.27968,9,9_1
A603138884430441510,1,34.08221,-118.36804,0,0_3
A603139400063952523,9,34.06361,-118.36685,0,0_3
A603144851205670533,6,34.07662,-118.12669,22,22
A598839351741641065,6,34.195919,-118.397469,19,19
A599035260600467060,8,34.02558,-118.76533,30,30
A599130443186808435,6,34.10412,-118.3699,0,0_0
A599227799388923391,4,34.09239,-118.35664,21,21_2
A599231690570108877,10,34.18276,-118.54063,3,3
A599244589448764126,4,34.59161,-118.16737,5,5
A599284381391031626,2,33.82802,-118.11669,2,2
A599300828224497783,6,34.14478,-118.41291,19,19
A599328087695875383,4,33.88739,-118.40635,13,13
A599368275691240494,9,34.06762,-118.1358,22,22
A603250522065518188,2,34.1850257,-118.5991758,28,28
A603540255642744595,10,34.163836108383755,-118.35640883817857,7,7
A603634306918862541,2,34.02479,-118.80653,30,30
A603641826193304541,6,33.99096,-118.47622,17,17_1
A603657996635811771,4,33.99818,-118.40367,4,4
A603686320105775267,4,33.77128938833611,-118.1979564262184,2,2
A599403386458368128,2,34.07308,-118.60075,16,16
A599423811276035869,3,34.07907,-118.14199,22,22
A599509948544613254,8,34.12564,-118.34663,21,21_0
A599605369241641548,1,34.06615,-118.35919,0,0_3
A599651009742944931,10,34.06026,-118.54665,16,16
A599812502044036852,4,34.06386,-118.39244,0,0_1
A609671403398578242,3,34.09139,-117.98306,1,1
A609688401858546319,4,34.16373,-118.606,28,28
A609727710938478867,7,33.85566,-118.07792,34,34
A609952034368343700,6,33.8308427,-118.3744545,13,13
A602992149622505850,8,34.16353,-118.79386,8,8
A603012590924914696,4,34.16609,-118.33534,7,7
A603025968609860428,4,34.13621,-117.90554,24,24
A603054169667209950,5,34.09604,-117.99799,1,1
A606072476771781581,4,34.05933,-118.74105,30,30
A606450139419726755,6,33.85015,-118.12375,34,34
A606585163276026445,2,34.066662,-118.053871,1,1
A606635091159209086,4,34.00146,-118.46142,17,17_1
A606684646005202569,4,33.96266217364651,-118.45100071281196,17,17_2
A603692460718420121,2,34.0546342685077,-118.2639041430176,9,9_5
A603703671417856916,4,34.087767470105106,-118.29201085288386,9,9_1
A603707930638947023,2,34.01834,-118.43911,4,4
A603740863733701072,16,34.0458,-117.89627,24,24
A603834367242323974,1,33.95735,-118.38273,25,25_2
A606730153758040892,6,33.81844,-118.20231,2,2
A606739245756475114,4,34.05624,-118.13828,22,22
A606744826030606677,4,34.0248,-118.30711,27,27
A606838112385360454,3,34.08351,-118.07554,22,22
A606842488774840333,2,34.046738,-118.089615,22,22
A607144936832057776,4,33.76949,-118.37089,20,20
A607149421264360064,4,34.08797,-118.27403,9,9_1
A607220029051914716,2,34.02468,-118.41511,4,4
A607236906675361771,10,33.83005,-118.38692,13,13
A607305487886803400,10,34.10382,-118.40676,0,0_0
A609997614703393283,5,34.08585,-118.37572,0,0_0
A610022189527483923,2,34.13192,-118.0292,1,1
A610036185445908237,2,34.13376,-118.03086,1,1
A610075646594834215,8,34.17316,-118.43848,19,19
A610083793892504093,4,33.99792,-118.4051,4,4
A610116225825717664,2,34.100136,-118.184616,6,6
A610157341959519088,4,34.10695,-118.20891,12,12
A610159035738896705,6,33.86793,-118.40333,13,13
A610178098301404200,2,34.02191,-118.39404,4,4
A603835298897691720,2,33.95521,-118.38488,25,25_2
A603838167875825589,4,33.95663,-118.38397,25,25_2
A604282852586126072,8,34.07086,-118.66379,16,16
A604304340783105634,2,34.10527052224911,-118.3332916705118,21,21_3
A604330716683139333,8,34.01961,-117.98433,33,33
A607321827226075038,4,34.02459,-118.3053,27,27
